polarity	aspect	term	term_pos	sentence	input
positive	AMBIENCE#GENERAL	terrace	27:34	In summer-eat outside on a terrace (another great feature of Suan)!!!	terrace 27:34 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	place	17:22	I recommend this place to everyone.	place 17:22 RESTAURANT#GENERAL
positive	FOOD#QUALITY	kitchen food	12:24	While their kitchen food is delicious, their Sushi is out of this world.	kitchen food 12:24 FOOD#QUALITY
negative	FOOD#QUALITY	food	4:8	The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.	food 4:8 FOOD#QUALITY
positive	FOOD#QUALITY	Sophia pizza	23:35	I highly recommend the Sophia pizza.	Sophia pizza 23:35 FOOD#QUALITY
negative	RESTAURANT#GENERAL	place	51:56	Judging from previous posts this used to be a good place, but not any longer.	place 51:56 RESTAURANT#GENERAL
positive	RESTAURANT#MISCELLANEOUS	spot	40:44	I found it on a cold night, the perfect spot to warm up.	spot 40:44 RESTAURANT#MISCELLANEOUS
negative	FOOD#PRICES	dishes	37:43	I ate here a week ago and found most dishes average at best and too expensive.	dishes 37:43 FOOD#PRICES
positive	DRINKS#STYLE_OPTIONS	sake list	6:15	Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!	sake list 6:15 DRINKS#STYLE_OPTIONS
negative	SERVICE#GENERAL	Wait staff	0:10	Wait staff is blantently unappreciative of your business but its the best pie on the UWS!	Wait staff 0:10 SERVICE#GENERAL
positive	FOOD#STYLE_OPTIONS	selection	12:21	Interesting selection, good wines, service fine, fun decor.	selection 12:21 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	farro salad	4:15	The farro salad and the mashed yukon potatoes were also extremely tasty.	farro salad 4:15 FOOD#QUALITY
negative	SERVICE#GENERAL	waitress	30:38	We did tip, I guess the model/waitress just wanted more and complained to the manager.	waitress 30:38 SERVICE#GENERAL
negative	FOOD#QUALITY	sashimi	39:46	those rolls were big, but not good and sashimi wasn't fresh.	sashimi 39:46 FOOD#QUALITY
positive	SERVICE#GENERAL	server	4:10	The server was really cool and served us our food and drinks with a smile.	server 4:10 SERVICE#GENERAL
negative	SERVICE#GENERAL	wait	89:93	There is no way it justifies the accolades it receives, the attitude of the staff or the wait for a table.	wait 89:93 SERVICE#GENERAL
positive	FOOD#QUALITY	Salads	0:6	Salads were fantastic.	Salads 0:6 FOOD#QUALITY
positive	RESTAURANT#GENERAL	Bloom's	11:18	Don't miss Bloom's on your next trip to Manhatten.	Bloom's 11:18 RESTAURANT#GENERAL
positive	FOOD#QUALITY	food	4:8	The food here does a great service to the name (Cantonese that is...).	food 4:8 FOOD#QUALITY
negative	AMBIENCE#GENERAL	atmosphere	106:116	The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.	atmosphere 106:116 AMBIENCE#GENERAL
positive	FOOD#QUALITY	food	6:10	Great food, amazing service, this place is a class act.	food 6:10 FOOD#QUALITY
positive	FOOD#QUALITY	onions	17:23	Delicate spices, onions, eggs and a kick-ass roti.	onions 17:23 FOOD#QUALITY
positive	FOOD#QUALITY	specials	51:59	Be sure to try the seasonal, and always delicious, specials.	specials 51:59 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	11:16	Check this place out!	place 11:16 RESTAURANT#GENERAL
negative	SERVICE#GENERAL	staff	42:47	Shame on this place for the horrible rude staff and non-existent customer service.	staff 42:47 SERVICE#GENERAL
positive	AMBIENCE#GENERAL	DJ	4:6	The DJ is awesome, I have been there for my birthday and a bunch of other times with friends and I keep going back.	DJ 4:6 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	back room	21:30	Check out the secret back room.	back room 21:30 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	place	13:18	I loved this place!!	place 13:18 RESTAURANT#GENERAL
positive	RESTAURANT#GENERAL	Mizu	134:138	I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.	Mizu 134:138 RESTAURANT#GENERAL
positive	FOOD#QUALITY	Chinese style Indian food	37:62	Not a very fancy place but very good Chinese style Indian food.	Chinese style Indian food 37:62 FOOD#QUALITY
positive	SERVICE#GENERAL	Service	0:7	Service, however, was excellent...and I liked the setting/atmosphere a lot. 	Service 0:7 SERVICE#GENERAL
positive	AMBIENCE#GENERAL	feel	68:72	I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.	feel 68:72 AMBIENCE#GENERAL
positive	FOOD#QUALITY	pepperoni	8:17	Get the pepperoni - YUM - and a family style salad.	pepperoni 8:17 FOOD#QUALITY
positive	FOOD#QUALITY	Food	0:4	Food-awesome.	Food 0:4 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	42:47	I highly recommend to anyone to give this place a try.	place 42:47 RESTAURANT#GENERAL
positive	FOOD#QUALITY	food	4:8	The food is amazing, rich pastas and fresh doughy pizza.	food 4:8 FOOD#QUALITY
positive	RESTAURANT#MISCELLANEOUS	place	21:26	Have recommended the place to friends, always gets good response.	place 21:26 RESTAURANT#MISCELLANEOUS
positive	SERVICE#GENERAL	service	30:37	The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.	service 30:37 SERVICE#GENERAL
negative	FOOD#STYLE_OPTIONS	bagel	43:48	The workers there also absolutely load the bagel with cream cheese (gets a little messy).	bagel 43:48 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	food	10:14	Excellent food for great prices	food 10:14 FOOD#QUALITY
neutral	AMBIENCE#GENERAL	decor	21:26	Don't waste money on decor.	decor 21:26 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	rooms	45:50	Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!	rooms 45:50 AMBIENCE#GENERAL
positive	SERVICE#GENERAL	staff	4:9	The staff offers impeccable service.	staff 4:9 SERVICE#GENERAL
positive	AMBIENCE#GENERAL	characters	4:14	The characters really make for an enjoyable experience.	characters 4:14 AMBIENCE#GENERAL
positive	FOOD#QUALITY	potato balls	4:16	The potato balls were not dry at all... in fact it was buttery.	potato balls 4:16 FOOD#QUALITY
positive	AMBIENCE#GENERAL	dining room	4:15	The dining room is quietly elegant with no music to shout over -- how refreshing!	dining room 4:15 AMBIENCE#GENERAL
negative	DRINKS#PRICES	drinks	17:23	However, our $14 drinks were were horrible!	drinks 17:23 DRINKS#PRICES
negative	RESTAURANT#MISCELLANEOUS	place	5:10	This place survives on reputation alone.	place 5:10 RESTAURANT#MISCELLANEOUS
positive	RESTAURANT#GENERAL	Pacifico	23:31	A coworker and I tried Pacifico after work a few Fridays and loved it.	Pacifico 23:31 RESTAURANT#GENERAL
positive	FOOD#QUALITY	cold appetizer dishes	4:25	The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.	cold appetizer dishes 4:25 FOOD#QUALITY
positive	AMBIENCE#GENERAL	boths	4:9	The boths are not as small as some of the reviews make them out to look they're perfect for 2 people.	boths 4:9 AMBIENCE#GENERAL
neutral	FOOD#QUALITY	side dishes	4:15	The side dishes were passable, and I did get a refill upon request.	side dishes 4:15 FOOD#QUALITY
positive	AMBIENCE#GENERAL	restaurant	34:44	Not the typical NYC gimmick theme restaurant.	restaurant 34:44 AMBIENCE#GENERAL
negative	FOOD#QUALITY	rolls	6:11	those rolls were big, but not good and sashimi wasn't fresh.	rolls 6:11 FOOD#QUALITY
negative	SERVICE#GENERAL	waiter	106:112	i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.	waiter 106:112 SERVICE#GENERAL
positive	FOOD#QUALITY	food	12:16	Overall the food quality was pretty good, though I hear the salmon is much better when it hasn't sat cooling in front of the guest.	food 12:16 FOOD#QUALITY
negative	DRINKS#PRICES	Drinks	0:6	Drinks way over priced.	Drinks 0:6 DRINKS#PRICES
positive	AMBIENCE#GENERAL	unmarked wooden doors	85:106	Not only is it an adventure getting to this somewhat hidden spot, once you enter the unmarked wooden doors, the zen and intimate décor will make you feel like you’re no longer in the city.	unmarked wooden doors 85:106 AMBIENCE#GENERAL
positive	SERVICE#GENERAL	Vittorio	25:33	Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.	Vittorio 25:33 SERVICE#GENERAL
negative	FOOD#QUALITY	food	14:18	Maggot in the food!	food 14:18 FOOD#QUALITY
negative	RESTAURANT#PRICES	restaurant	44:54	So what you really end up paying for is the restaurant not the food.	restaurant 44:54 RESTAURANT#PRICES
positive	FOOD#QUALITY	Grilled Salmon dish	106:125	I picked the Grilled Black Cod as my entree, which I absolutely devoured while someone commented that the Grilled Salmon dish was better.	Grilled Salmon dish 106:125 FOOD#QUALITY
positive	FOOD#STYLE_OPTIONS	rolls	36:41	The sashimi is always fresh and the rolls are innovative and delicious.	rolls 36:41 FOOD#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	place	5:10	This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.	place 5:10 AMBIENCE#GENERAL
positive	SERVICE#GENERAL	service	29:36	The view is breathtaking the service is top notch... the ambiance is wonderfull.	service 29:36 SERVICE#GENERAL
negative	FOOD#QUALITY	meal	101:105	If it seemed possible to do so while there I would have fought my bill since my dinner portion of my meal was inedible!	meal 101:105 FOOD#QUALITY
positive	FOOD#QUALITY	ingredients	6:17	Fresh ingredients and everything is made to order.	ingredients 6:17 FOOD#QUALITY
positive	FOOD#PRICES	pizzas	11:17	All of the pizzas are terrific and the price is even better!	pizzas 11:17 FOOD#PRICES
positive	FOOD#QUALITY	sushi	75:80	Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .	sushi 75:80 FOOD#QUALITY
negative	FOOD#PRICES	japanese food	11:24	overpriced japanese food with mediocre service	japanese food 11:24 FOOD#PRICES
positive	FOOD#QUALITY	four course prix fix menu	54:79	I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot.	four course prix fix menu 54:79 FOOD#QUALITY
neutral	DRINKS#QUALITY	wine	7:11	Decent wine at reasonable prices.	wine 7:11 DRINKS#QUALITY
positive	FOOD#QUALITY	food	4:8	The food is great and reasonably priced.	food 4:8 FOOD#QUALITY
positive	FOOD#QUALITY	Korean food	61:72	Dokebi gives Williamsburg the right one-two punch of classic Korean food and fusion twists like pork belly tacos.	Korean food 61:72 FOOD#QUALITY
positive	RESTAURANT#GENERAL	Cafe Noir	52:61	The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.	Cafe Noir 52:61 RESTAURANT#GENERAL
positive	FOOD#QUALITY	kababs	54:60	and yes Dal Bukhara is so dam good and so are all the kababs.	kababs 54:60 FOOD#QUALITY
positive	FOOD#QUALITY	food	21:25	Service was good and food is wonderful.	food 21:25 FOOD#QUALITY
negative	FOOD#PRICES	Food	0:4	Food was just average...if they lowered the prices just a bit, it would be a bigger draw.	Food 0:4 FOOD#PRICES
positive	FOOD#STYLE_OPTIONS	portion	52:59	My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.	portion 52:59 FOOD#STYLE_OPTIONS
positive	RESTAURANT#MISCELLANEOUS	1st Ave spot	19:31	Worth visiting the 1st Ave spot because it is the original store.	1st Ave spot 19:31 RESTAURANT#MISCELLANEOUS
positive	SERVICE#GENERAL	service	8:15	Helpful service and average price per dish $10.	service 8:15 SERVICE#GENERAL
neutral	FOOD#QUALITY	Bagels	0:6	Bagels are ok, but be sure not to make any special requests!	Bagels 0:6 FOOD#QUALITY
positive	FOOD#QUALITY	regular menu-fare	49:66	The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.	regular menu-fare 49:66 FOOD#QUALITY
positive	FOOD#QUALITY	hot dog	16:23	amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!	hot dog 16:23 FOOD#QUALITY
negative	FOOD#QUALITY	food	42:46	I'm still mad that i had to pay for lousy food.	food 42:46 FOOD#QUALITY
negative	FOOD#QUALITY	food	25:29	Sauce was watery and the food didn't have much flavor.	food 25:29 FOOD#QUALITY
positive	RESTAURANT#GENERAL	restaurant	79:89	The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!	restaurant 79:89 RESTAURANT#GENERAL
positive	SERVICE#GENERAL	service	29:36	The place is so cool and the service is prompt and curtious.	service 29:36 SERVICE#GENERAL
positive	FOOD#QUALITY	fish dishes	188:199	Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return. 	fish dishes 188:199 FOOD#QUALITY
negative	SERVICE#GENERAL	staff	75:80	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.	staff 75:80 SERVICE#GENERAL
positive	DRINKS#STYLE_OPTIONS	sake menu	4:13	The sake menu should not be overlooked!	sake menu 4:13 DRINKS#STYLE_OPTIONS
negative	FOOD#QUALITY	food	31:35	Also, specify if you like your food spicy- its rather bland if you don't.	food 31:35 FOOD#QUALITY
neutral	FOOD#STYLE_OPTIONS	pastrami sandwich on a roll	13:40	I had a huge pastrami sandwich on a roll.	pastrami sandwich on a roll 13:40 FOOD#STYLE_OPTIONS
positive	RESTAURANT#GENERAL	Suan	17:21	I recently tried Suan and I thought that it was great.	Suan 17:21 RESTAURANT#GENERAL
positive	FOOD#QUALITY	Sushi	9:14	Favorite Sushi in NYC	Sushi 9:14 FOOD#QUALITY
positive	FOOD#QUALITY	food	30:34	The waiter was attentive, the food was delicious and the views of the city were great.	food 30:34 FOOD#QUALITY
positive	AMBIENCE#GENERAL	bar scene	34:43	The place itself is beautiful the bar scene seems to be happening.	bar scene 34:43 AMBIENCE#GENERAL
negative	AMBIENCE#GENERAL	place	19:24	First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.	place 19:24 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	place	39:44	Please take my advice, go and try this place.	place 39:44 RESTAURANT#GENERAL
positive	FOOD#QUALITY	Spreads	0:7	Spreads and toppings are great - though a bit pricey.	Spreads 0:7 FOOD#QUALITY
negative	FOOD#QUALITY	kimchee	187:194	However, once I received my predictably mediocre order of what Dokebi thinks passes as Korean fair, (sometimes you have to settle when it's your only option), I got through about half my kimchee before I found a piece of random lettuce accompanied by a far more disgusting, slimy, clearly bad piece of fish skin.	kimchee 187:194 FOOD#QUALITY
positive	AMBIENCE#GENERAL	scene	26:31	It is quite a spectacular scene i'll give them that.	scene 26:31 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	Fish	35:39	Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!	Fish 35:39 RESTAURANT#GENERAL
positive	LOCATION#GENERAL	location	90:98	Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.	location 90:98 LOCATION#GENERAL
negative	RESTAURANT#GENERAL	place	5:10	Cute place, nice wait staff but would never go there again.	place 5:10 RESTAURANT#GENERAL
negative	FOOD#PRICES	food	4:8	The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.	food 4:8 FOOD#PRICES
negative	AMBIENCE#GENERAL	decor	39:44	The only thing that strikes you is the decor?(not very pleasant).	decor 39:44 AMBIENCE#GENERAL
negative	FOOD#QUALITY	Go Go Hamburgers	15:31	Do not get the Go Go Hamburgers, no matter what the reviews say.	Go Go Hamburgers 15:31 FOOD#QUALITY
positive	RESTAURANT#GENERAL	Corona	103:109	If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.	Corona 103:109 RESTAURANT#GENERAL
positive	RESTAURANT#GENERAL	mare	19:23	We all agreed that mare is one of the best seafood restaurants in New York.	mare 19:23 RESTAURANT#GENERAL
positive	RESTAURANT#GENERAL	restaurant	61:71	Our family never expected such incredible entertainment in a restaurant.	restaurant 61:71 RESTAURANT#GENERAL
positive	FOOD#QUALITY	sushi	29:34	We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.	sushi 29:34 FOOD#QUALITY
positive	FOOD#QUALITY	Indian	20:26	They have authentic Indian at amazin prices.	Indian 20:26 FOOD#QUALITY
positive	AMBIENCE#GENERAL	place	22:27	However, I think this place is a good hang out spot.	place 22:27 AMBIENCE#GENERAL
negative	FOOD#QUALITY	dish	42:46	My wife had barely touched that mess of a dish.	dish 42:46 FOOD#QUALITY
positive	SERVICE#GENERAL	waiters	32:39	The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.	waiters 32:39 SERVICE#GENERAL
positive	DRINKS#STYLE_OPTIONS	wine list	4:13	The wine list is extensive and impressive.	wine list 4:13 DRINKS#STYLE_OPTIONS
positive	FOOD#QUALITY	dish	5:9	This dish is my favorite and I always get it when I go there and never get tired of it.	dish 5:9 FOOD#QUALITY
negative	SERVICE#GENERAL	waiters	6:13	Also, waiters try to push more food on you, like suggest things as if they are complimentary when they actually cost $.	waiters 6:13 SERVICE#GENERAL
positive	FOOD#STYLE_OPTIONS	hot dog	9:16	Here the hot dog is elevated to the level of a real entree with numerous variations available.	hot dog 9:16 FOOD#STYLE_OPTIONS
negative	RESTAURANT#GENERAL	palce	12:17	How is this palce still open?	palce 12:17 RESTAURANT#GENERAL
positive	FOOD#QUALITY	Food	0:4	Food is great and inexpensive.	Food 0:4 FOOD#QUALITY
positive	RESTAURANT#PRICES	Suan	126:130	Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.	Suan 126:130 RESTAURANT#PRICES
positive	FOOD#QUALITY	japanese comfort food	48:69	it's the only place you can get yummy authentic japanese comfort food.	japanese comfort food 48:69 FOOD#QUALITY
negative	FOOD#PRICES	sandwiches	10:20	Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.	sandwiches 10:20 FOOD#PRICES
positive	SERVICE#GENERAL	servers	12:19	Most of the servers are very attentive, friendly and quite attractive.	servers 12:19 SERVICE#GENERAL
negative	FOOD#STYLE_OPTIONS	dishes	49:55	This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.	dishes 49:55 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	pizza	6:11	Great pizza for lunch place.	pizza 6:11 FOOD#QUALITY
positive	FOOD#QUALITY	food	82:86	Though it's been crowded most times I've gone here, Bark always delivers on their food.	food 82:86 FOOD#QUALITY
positive	SERVICE#GENERAL	service	80:87	Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.	service 80:87 SERVICE#GENERAL
negative	FOOD#QUALITY	bread	4:9	The bread was stale, the salad was overpriced and empty.	bread 4:9 FOOD#QUALITY
positive	FOOD#STYLE_OPTIONS	food	4:8	The food is flavorful, plentiful and reasonably priced.	food 4:8 FOOD#STYLE_OPTIONS
negative	FOOD#STYLE_OPTIONS	menu	27:31	Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.	menu 27:31 FOOD#STYLE_OPTIONS
neutral	FOOD#STYLE_OPTIONS	menu	4:8	The menu is fairly simple without much descriptions. 	menu 4:8 FOOD#STYLE_OPTIONS
positive	FOOD#STYLE_OPTIONS	portions	91:99	The service is excellent, the decor is great, and the food is delicious and comes in large portions.	portions 91:99 FOOD#STYLE_OPTIONS
negative	FOOD#PRICES	lunch buffet	4:16	The lunch buffet is expensive but is deff worth it.	lunch buffet 4:16 FOOD#PRICES
positive	FOOD#QUALITY	dishes	62:68	The food was average or above including some surprising tasty dishes.	dishes 62:68 FOOD#QUALITY
positive	FOOD#QUALITY	food	48:52	Go to Volare for 1st class service and terrific food.	food 48:52 FOOD#QUALITY
positive	AMBIENCE#GENERAL	Dining Garden	105:118	I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!	Dining Garden 105:118 AMBIENCE#GENERAL
positive	FOOD#STYLE_OPTIONS	Steak Tartare	4:17	The Steak Tartare is a great bet, they fix it for you at the table.	Steak Tartare 4:17 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	BBQ Salmon	30:40	Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.	BBQ Salmon 30:40 FOOD#QUALITY
neutral	FOOD#QUALITY	food	66:70	The menu looked great, and the waiter was very nice, but when the food came, it was average.	food 66:70 FOOD#QUALITY
positive	FOOD#QUALITY	risotto	17:24	The wife had the risotto which was amazing.	risotto 17:24 FOOD#QUALITY
positive	FOOD#QUALITY	baked clams octopus	4:23	The baked clams octopus we shared as appetizers were the best we've ever had!! 	baked clams octopus 4:23 FOOD#QUALITY
positive	FOOD#QUALITY	lamb sausages	62:75	The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).	lamb sausages 62:75 FOOD#QUALITY
positive	RESTAURANT#GENERAL	Saul	0:4	Saul is the best restaurant on Smith Street and in Brooklyn.	Saul 0:4 RESTAURANT#GENERAL
positive	AMBIENCE#GENERAL	atmosphere	123:133	Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.	atmosphere 123:133 AMBIENCE#GENERAL
positive	SERVICE#GENERAL	Delivery	43:51	Great friendly service, Fast seating, Fast Delivery, Excellent sushi.	Delivery 43:51 SERVICE#GENERAL
positive	RESTAURANT#GENERAL	Big Wong	0:8	Big Wong is a great place to eat and fill your stomach.	Big Wong 0:8 RESTAURANT#GENERAL
positive	FOOD#QUALITY	Grilled Chicken special with Edamame Puree	46:88	The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.	Grilled Chicken special with Edamame Puree 46:88 FOOD#QUALITY
positive	FOOD#QUALITY	dishes	42:48	I am not a vegetarian but, almost all the dishes were great.	dishes 42:48 FOOD#QUALITY
positive	FOOD#QUALITY	rolls	16:21	They have great rolls, the triple color and norwegetan rolls, are awesome and filling.	rolls 16:21 FOOD#QUALITY
negative	FOOD#QUALITY	Chilli Chicken	145:159	The chicken lollipop is my favorite, most of the dishes (I have to agree with a previous reviewer) are quite oily and very spicy, espeically the Chilli Chicken.	Chilli Chicken 145:159 FOOD#QUALITY
positive	DRINKS#STYLE_OPTIONS	wine	53:57	The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.	wine 53:57 DRINKS#STYLE_OPTIONS
positive	RESTAURANT#GENERAL	restaurant	19:29	Overall, excellent restaurant!	restaurant 19:29 RESTAURANT#GENERAL
negative	AMBIENCE#GENERAL	ambiance	5:13	Zero ambiance to boot.	ambiance 5:13 AMBIENCE#GENERAL
positive	FOOD#PRICES	Cheese plate	0:12	Cheese plate is a varied delight and great bargain at $10.	Cheese plate 0:12 FOOD#PRICES
negative	RESTAURANT#GENERAL	The Four Seasons	59:75	The food was excellent as well as service, however, I left The Four Seasons very dissappointed.	The Four Seasons 59:75 RESTAURANT#GENERAL
negative	FOOD#QUALITY	sushi	19:24	The first time the sushi was outstanding, the second time it was a little bland.	sushi 19:24 FOOD#QUALITY
positive	FOOD#QUALITY	sea bass	8:16	Try the sea bass.	sea bass 8:16 FOOD#QUALITY
negative	SERVICE#GENERAL	service	46:53	For the people who want great food plus great service, Roxy is a place to AVOID!	service 46:53 SERVICE#GENERAL
positive	DRINKS#QUALITY	wine	67:71	We have been to this place many times, and always have great food, wine, and service.	wine 67:71 DRINKS#QUALITY
positive	FOOD#QUALITY	drumsticks over rice	5:25	Best drumsticks over rice and sour spicy soup in town!	drumsticks over rice 5:25 FOOD#QUALITY
positive	FOOD#QUALITY	Food	0:4	Food was amazing - I love Indian food and eat it quite regularly, but I can say this is one of the best I've had.	Food 0:4 FOOD#QUALITY
positive	FOOD#QUALITY	salads	66:72	Although we were looking for regular lettuce and some walnuts the salads we got were great.	salads 66:72 FOOD#QUALITY
positive	FOOD#QUALITY	Taiwanese food	5:19	Best Taiwanese food in NY!	Taiwanese food 5:19 FOOD#QUALITY
positive	SERVICE#GENERAL	service	84:91	I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.	service 84:91 SERVICE#GENERAL
positive	FOOD#QUALITY	Sushi	6:11	Best. Sushi. Ever.	Sushi 6:11 FOOD#QUALITY
positive	SERVICE#GENERAL	service	13:20	An excellent service	service 13:20 SERVICE#GENERAL
positive	FOOD#QUALITY	mushroom pizza	18:32	My friend got the mushroom pizza which tasted better.	mushroom pizza 18:32 FOOD#QUALITY
positive	AMBIENCE#GENERAL	Leon	0:4	Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.	Leon 0:4 AMBIENCE#GENERAL
positive	FOOD#QUALITY	margherita pizza	7:23	i love margherita pizza – i looove east village pizza	margherita pizza 7:23 FOOD#QUALITY
negative	AMBIENCE#GENERAL	atmosphere	4:14	The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.	atmosphere 4:14 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	belly dancers	19:32	Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.	belly dancers 19:32 AMBIENCE#GENERAL
negative	SERVICE#GENERAL	service	48:55	Both times I was extremely dissappointed by the service, which was boarderline rude.	service 48:55 SERVICE#GENERAL
positive	FOOD#QUALITY	Sushi	0:5	Sushi experience was unbelievable with my fiance.	Sushi 0:5 FOOD#QUALITY
positive	FOOD#QUALITY	fish and chips	55:69	Other guests enjoyed pizza, santa fe chopped salad and fish and chips.	fish and chips 55:69 FOOD#QUALITY
positive	SERVICE#GENERAL	service	78:85	I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.	service 78:85 SERVICE#GENERAL
negative	FOOD#QUALITY	Dessert	0:7	Dessert: pure disaster.	Dessert 0:7 FOOD#QUALITY
positive	FOOD#QUALITY	Mussles	0:7	Mussles and calamari were superb Saturday evening.	Mussles 0:7 FOOD#QUALITY
positive	SERVICE#GENERAL	service	0:7	service is friendly, and never had a problem walking in and getting a table.	service 0:7 SERVICE#GENERAL
positive	FOOD#QUALITY	Red Dragon Roll	32:47	Just go to Yamato and order the Red Dragon Roll.	Red Dragon Roll 32:47 FOOD#QUALITY
positive	SERVICE#GENERAL	Seating	0:7	Seating is always prompt, though the restaurant does fill up in the evening.	Seating 0:7 SERVICE#GENERAL
neutral	AMBIENCE#GENERAL	decor	4:9	The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.	decor 4:9 AMBIENCE#GENERAL
positive	FOOD#STYLE_OPTIONS	Personal pans	0:13	Personal pans are the perfect size for those hungry nights.	Personal pans 0:13 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	caviar	72:78	I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.	caviar 72:78 FOOD#QUALITY
negative	SERVICE#GENERAL	Service	0:7	Service was very prompt but slightly rushed.	Service 0:7 SERVICE#GENERAL
negative	SERVICE#GENERAL	customer service	92:108	This place would be so much better served by being run by a group that actually understands customer service.	customer service 92:108 SERVICE#GENERAL
positive	FOOD#QUALITY	sepia	58:63	The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.	sepia 58:63 FOOD#QUALITY
positive	FOOD#QUALITY	meal	50:54	With the theater 2 blocks away we had a delicious meal in a beautiful room.	meal 50:54 FOOD#QUALITY
positive	FOOD#STYLE_OPTIONS	half/half pizza	7:22	We had half/half pizza, mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza!	half/half pizza 7:22 FOOD#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	mileau	47:53	Everything was wonderful; food, drinks, staff, mileau.	mileau 47:53 AMBIENCE#GENERAL
